name,smiles,k7,logk7,logK7,pKa,JW k2,JW logk2,JW DH
MEA,NCCO,4920,3.691965103,1.73,9.44,5500,3.740362689,85.5
PA,NCCC,10090,4.003891166,2.404,10.566,,,
BA,NCCCC,11810,4.072249898,2.305,10.64,1000,3,95
IBA,NCC(C)C,11830,4.072984745,2.462,10.48,1100,3.041392685,97
SBA,NC(C)CC,2363,3.373463722,2.011,10.57,,,
1AP,NCC(C)O,5360,3.72916479,2.02,9.5,,,
2AP,NC(C)CO,1010,3.004321374,1.12,9.52,1000,3,85
MPA,NCCCO,9020,3.955206538,2.351,10.088,,,
DEA,OCCNCCO,110.9,2.044931546,1.389166084,8.861,2000,3.301029996,72
TMORP,C1CSCCN1,3251,3.512016969,1.877946952,8.701,,,
MORP,C1COCCN1,2720,3.434568904,2.137670537,8.491,14300,4.155336037,82
PYR,C1CCCN1,58500,4.767155866,2.785329835,11.3,,,
PIPD,C1CCCCN1,24380,4.387033701,2.794488047,11.14,42000,4.62324929,81
NMPIPZ,CN1CCNCC1,4110,3.613841822,2.180412633,9.31,4000,3.602059991,67
4PIPDM,OCC1CCNCC1,21300,4.328379603,2.260071388,10.56,21000,4.322219295,71
